(-0.00942972672345+0j) (-0.00226694814658+0j) (0.0111656135027+0j) (0.00700302145378+0j) (0.00683787228182+0j) (0.00289786324252+0j) (0.0137434067997+0j) (-0.00588504800074+0j) (-0.00428870937554+0j) (0.00070005146234+0j) (0.00966576526442+0j) (-0.00520183597791+0j) (-0.00455974971787+0j) (-0.00194563541189+0j) (-0.00589329782216+0j) (-0.000791292071161+0j) (0.00498613851165+0j) (0.00809063827316+0j) (0.0048297620915+0j) (-0.00236929500148+0j)
(-0.000569537924128-0.00068295459885j) (-0.000659523672755-0.000575794222976j) (-0.000618357422329-0.000541445155821j) (-0.00134060911222-0.000442163742816j) (-0.0012782802961-0.000110498428195j) (-0.00140755731603-0.000837621808597j) (-0.000686417433326+0.000206621887623j) (-0.00103465737549-0.000184567018076j) (-0.00108338612172-0.000426892842998j) (-0.00127442082106-0.00067315311855j) (-0.00132803556946-0.000595389024757j) (-0.00163416774712-0.000473050425133j) (-0.00132299903352-0.000619098463621j) (-0.000941171280746-0.000157016533516j) (-0.000944666182573-0.000694929246727j) (-0.000944812373365-7.35186639765e-05j) (-0.000935621321222-0.000769652517373j) (-0.000939383376917-0.000272227240249j) (-0.000433390798492-0.000436215865963j) (0.000142486689648-0.000419853700601j)
(-0.00133922431891-0.000742783250573j) (-0.00156132955313-0.000910481622545j) (-0.00106755640997-0.000795975959755j) (-0.00230291883774-0.000654513305814j) (-0.00203896588452-0.00043791869926j) (-0.00233459917725-0.00117621676761j) (-0.00190457035144-0.000693488819355j) (-0.00304805239773-0.000731893650649j) (-0.00249134125417-0.000684416260134j) (-0.00248645770553-0.000799968974127j) (-0.00289481564361-0.000886773758072j) (-0.00318703588539-0.00109406424785j) (-0.00327383900429-0.00118475124708j) (-0.00197830324497-0.00140438491117j) (-0.00277457459211-0.000964048765293j) (-0.00164347483861-0.000411390547251j) (-0.00183598538911-0.000949903751442j) (-0.00186337431974-0.00088870179184j) (-0.000651219311351-0.000718705837297j) (-0.000338480582159-0.000482564637207j)
(-0.00049285567856-0.000267484963465j) (-0.00140353116942-0.000697208212774j) (-0.00126423436135-0.000880395724452j) (-0.00186023601234-0.00067900813264j) (-0.00131377280418-0.000227648833348j) (-0.00200335634498-0.000715151652961j) (-0.00213838230805-0.000463054303017j) (-0.00242736524603-0.000570458173775j) (-0.00245869051926-0.000528958671166j) (-0.00221804136518-0.00103393227131j) (-0.00247396385008-0.000845046922663j) (-0.00261187495319-0.00092638345431j) (-0.00250015875885-0.00112849069612j) (-0.00184969037682-0.00113085457734j) (-0.00237168730549+9.47089995553e-05j) (-0.00141194775205-0.000297453287866j) (-0.00179579450197-0.000545983341708j) (-0.00172936086082-0.000332951849784j) (-0.000684219826526-0.000685613774574j) (-0.000593441133366-0.00079216821311j)
(-0.000290741988279-0.000144809835936j) (-0.00113017999117-0.000652211927332j) (-0.00145018252986-0.000947511449884j) (-0.00232445696949-0.00106015490251j) (-0.00168301958754-0.000618438263057j) (-0.00316254608523-0.000987108620626j) (-0.00305207067349-0.000738344281605j) (-0.00335155918162-0.00124561006418j) (-0.00324819731659-0.000320589750449j) (-0.00329573137507-0.000912753980658j) (-0.00336003433247-0.000473394791639j) (-0.00257053326498-0.000424284857559j) (-0.00270600187891-0.000573038329846j) (-0.00320282637964-0.000322815836405j) (-0.00230504840747+8.23339542919e-05j) (-0.00224564680247-0.000420146570921j) (-0.00171473876235-8.40619511584e-05j) (-0.00124854749966-0.000539216422207j) (-0.000741083461635-0.000931880459609j) (-0.00079554770595-0.000352228287283j)
(-0.00012248322032+0.00014211944871j) (-0.000541896191589-0.000388989123567j) (-0.00084817972052-0.00045034235621j) (-0.0014524499084-0.000495632161157j) (-0.00124102745914-0.000731253072657j) (-0.00227932872309-0.000749305077421j) (-0.0020844200845-0.000676423697519j) (-0.00222777971102-0.00107219425089j) (-0.00250507136125-0.000297116251575j) (-0.00242346292721-0.000460065594626j) (-0.00245205614647-0.000452320613368j) (-0.00193599058667-0.000502914515889j) (-0.00198200219618-0.000330454363605j) (-0.00219886911652-0.000376276279693j) (-0.00183802793394-0.000300508336136j) (-0.0018985197227-0.000203523128988j) (-0.0011188945891-0.000272580337736j) (-0.00117400450123-0.000183694534485j) (-0.00102566750445-0.000220967317483j) (-0.000702223561589-0.00013193773483j)
(-0.000310819975644-4.06123557524e-05j) (-0.000724875434252-0.000803523471076j) (-0.0023187659246-0.000321203305066j) (-0.00218238573008-4.7598088688e-05j) (-0.00241371310535-9.22212146682e-05j) (-0.00294429108445-0.0009723500951j) (-0.00261499970528-0.000777784865811j) (-0.00319026917439-0.000897363129703j) (-0.00344204385804-0.000847183468103j) (-0.00329039189734+0.000158185384656j) (-0.00321338062417-0.00025775163533j) (-0.00267657249228-0.000833139266053j) (-0.00289198952734-0.000544483229785j) (-0.00298479557808-0.000833578433542j) (-0.00267113401894-0.000388988225688j) (-0.00247577872606-0.00110715190473j) (-0.00202012873317-0.000466929134656j) (-0.00156743490532-0.000112380791515j) (-0.00163101583965+0.000335890895921j) (-0.000491243420386-0.000476361489149j)
(-0.00118802918843+3.04384220051e-05j) (-0.00183737097981-4.93366074118e-05j) (-0.00336476481461-0.00106145242115j) (-0.00450661311334-8.84178634561e-05j) (-0.00483757963848-0.000364165415156j) (-0.00545127559027-0.000638146348557j) (-0.00596742072746-0.000718652371087j) (-0.00649731115565-0.000966098282788j) (-0.00651941813856-0.00134101026241j) (-0.00607022350969-0.000772893664026j) (-0.00612420017427-0.00100809255826j) (-0.0057568962125-0.0012245245417j) (-0.0052445371174-0.00169400103579j) (-0.0053151892697-0.00162092723495j) (-0.00522337585534-0.00129980122169j) (-0.00419801276563-0.00191425516948j) (-0.00377653221191-0.00159066099058j) (-0.00276502203664-0.000559714521873j) (-0.00192443887543-0.000813589975922j) (-0.00121432514038-0.000765733863373j)
(-0.000611102202436-0.000120620970648j) (-0.00224734703989-0.000241903941953j) (-0.00354210109005-0.000655516615858j) (-0.0048365927201-7.68374797911e-05j) (-0.00526943715089-0.000611800377897j) (-0.00623336339637-5.91035588574e-05j) (-0.0073680614624-0.000143609444265j) (-0.00743294479-0.000532913589134j) (-0.00785419809544-0.00121872377783j) (-0.00619634566857-0.000625039877066j) (-0.00650776607872-0.000895545466876j) (-0.00661892698961-0.000772937657609j) (-0.00636374411043-0.00138909580218j) (-0.00616636006545-0.000269861808977j) (-0.00603838618015-0.000385751759905j) (-0.00460388530598-0.0019384275994j) (-0.00443199535487-0.00110320252176j) (-0.00290232238061-0.000485877747558j) (-0.00142619138372-0.000584110352948j) (-0.0012944728004-0.000492123741665j)
(-0.000480508802426-0.000899700954789j) (-0.00288352006315-0.00076810948608j) (-0.00425368823439-0.000137123362588j) (-0.00521800516241-0.000445448562377j) (-0.00602741090915-0.00068123776845j) (-0.00673982515+1.98872221752e-05j) (-0.00753684899241+0.000131810155217j) (-0.00809183270229-6.88227832474e-05j) (-0.00893405917643-0.000719259734139j) (-0.00836899129016-0.000585799743161j) (-0.00811664850994-0.000686374763078j) (-0.00678464918556-0.000624432402411j) (-0.00697519158138-0.000744792338166j) (-0.00749256170794-0.000240699282548j) (-0.00688098652466-0.000181478914322j) (-0.00562974794634-0.00079689571886j) (-0.00464948223322-0.000763296779102j) (-0.00323437387901-0.000601394416135j) (-0.00218874578241-0.00063992276862j) (-0.00116490990844+0.000252888521462j)
(-0.00170355482809-0.00218557701021j) (-0.00394248613308-0.00110739958686j) (-0.00574901927367-0.0013864522466j) (-0.00742944475313-0.00153381768012j) (-0.00837896221641-0.00232307850822j) (-0.0100101256189-0.00205731848492j) (-0.0107499108201-0.00253206139406j) (-0.0111683379789-0.00242995797073j) (-0.0115588304141-0.0032132243238j) (-0.0115097822394-0.00418603232417j) (-0.0115162682211-0.00242281920349j) (-0.0096776514467-0.00311430647067j) (-0.0102770010042-0.00278899441989j) (-0.00986242704114-0.00253117242261j) (-0.00869206296282-0.00272580630919j) (-0.00864674273917-0.00260300415491j) (-0.00603006138573-0.0019337761573j) (-0.00539828989828-0.00226473399098j) (-0.00379930614468-0.000816418428125j) (-0.00268540476115+7.09085724081e-05j)
