(-0.00942972672345+0j) (-0.00226694814658+0j) (0.0111656135027+0j) (0.00700302145378+0j) (0.00683787228182+0j) (0.00289786324252+0j) (0.0137434067997+0j) (-0.00588504800074+0j) (-0.00428870937554+0j) (0.00070005146234+0j) (0.00966576526442+0j) (-0.00520183597791+0j) (-0.00455974971787+0j) (-0.00194563541189+0j) (-0.00589329782216+0j) (-0.000791292071161+0j) (0.00498613851165+0j) (0.00809063827316+0j) (0.0048297620915+0j) (-0.00236929500148+0j)
(0.00923666283439-0.0147900815103j) (0.0155917194914-0.0196597333953j) (0.0185327340441-0.0204730362077j) (0.0216776219987-0.0140388411457j) (0.0224054375352+0.000309212614804j) (0.0190052791879+0.00420986301435j) (0.0132452737797+0.0138610855246j) (0.00339734538374+0.00871941508664j) (0.0110926025793+0.00813995784742j) (-0.000659300510441+0.00734217030911j) (0.00296482747882-0.00396658796513j) (0.00425010686357-0.00638433543323j) (0.00859718040889-0.00988511957401j) (0.0177870169259-0.012349962308j) (0.026487964772-0.00346424408968j) (0.0233690833209+0.00417589505748j) (0.0178331624445+0.00777992828555j) (0.011805776418+0.0147954795331j) (0.011779459025+0.00902494367764j) (0.00645858455231+0.000852893414682j)
(0.000297272711963-0.00158503626173j) (-0.00474471866516+0.00425586687706j) (-0.00136379467018+0.00301012712601j) (0.0110644597962+0.00516881306129j) (0.02132911153+0.0105444747141j) (0.0253122242662+0.00411871093103j) (0.0277110974579-0.00191093814231j) (0.0274522908655-0.0130976069399j) (0.0271165155998-0.0163719540947j) (0.0110927942637-0.0181013302595j) (0.00341071301253-0.0113130059005j) (1.32743662976e-05-0.00343193036936j) (-0.000603726449186+0.000124174018189j) (0.00427594926349+0.00237057129569j) (0.01403633156+0.0145021736506j) (0.0208144395666+0.0110873831736j) (0.022073474843+0.0116458932119j) (0.0196358339816+0.0191401491887j) (0.0124249005651+0.0118922548869j) (0.00542746699893+0.000251043234926j)
(0.00739287184878-0.0247303663272j) (0.00411522732593-0.0378591327099j) (0.00813353216701-0.0364022601701j) (0.0164253562336-0.0231944682843j) (0.0259257498856-0.00389462422743j) (0.0227793803289+0.0138982146396j) (0.0304708746257+0.0254762017305j) (0.0316310815182+0.0286756568166j) (0.0201161706363+0.0226975246794j) (0.00998014534078+0.00445517831879j) (0.00289823275011-0.00841015665227j) (-0.00476288077312-0.0200137011003j) (0.0066428446415-0.028141921497j) (0.0129212863121-0.0250528056004j) (0.0220112659614-0.00984404437417j) (0.0327098334494+0.00555901433782j) (0.0386610367002+0.0182084323058j) (0.0382054950033+0.0301317466617j) (0.0233978873055+0.0294003130651j) (0.0170290826275+0.0158639115523j)
(0.0187020163206-0.014203906532j) (0.0184801588128-0.0258307379393j) (0.0260970558835-0.029791803517j) (0.0277609541609-0.0194234012063j) (0.0251330701943-0.0118192518505j) (0.0182398126557-0.000952100494164j) (0.0180080652295+0.0135025655492j) (0.0177621590842+0.0269441545818j) (0.0111851631847+0.0293895976264j) (0.01298450267+0.0223767236909j) (0.00916499159091+0.00694923298446j) (0.00559075511688-0.00598462040922j) (0.0249178576825-0.0293682734855j) (0.0285147811813-0.0235323142336j) (0.0295536894634-0.0166539353869j) (0.0290951078708-0.00231729101688j) (0.0345098013646+0.0142064113396j) (0.025337239809+0.028193205904j) (0.0240009276704+0.0345363450698j) (0.0167732506589+0.017438114109j)
(0.0224434119044+0.00458621963082j) (0.040532750655+0.00826183273159j) (0.054046765625+0.00132612511405j) (0.0489001501294-0.0021210281918j) (0.0380060206715-0.0022330536777j) (0.0159233957052-0.00853038284877j) (-0.000746978977135-0.00436038202836j) (-0.0200275049442-0.012606743917j) (-0.0204947645532-0.00947265376715j) (-0.0208837440605-0.00733446506443j) (-0.00758088899101-0.00719811379081j) (0.0112371362702-0.00308238842336j) (0.0289454635434-0.00551263668736j) (0.0327591678936+0.00740857934927j) (0.0280214949115+0.0128670205941j) (0.0216607925194+0.0147879258504j) (0.0142582131605+0.0159932385098j) (0.00455171226109+0.0142248811077j) (0.00859769173268+0.0124427252219j) (0.00653967902223+0.00684202538633j)
(0.0234429652591+0.00199045277912j) (0.0440069846244+0.00218284780921j) (0.0574374770032-0.00335563584536j) (0.0501666035803-0.000233491576067j) (0.0347714606009+0.0029056757023j) (0.00647094005539+0.00129437969614j) (-0.016922543355+0.00337372883815j) (-0.0318525893916-0.00459283362506j) (-0.0268574498196-0.00434990167922j) (-0.0230634962013-0.00717126430135j) (-0.00827710109228-0.00766744517544j) (0.0152281294332-0.00571884473906j) (0.0372151108421-0.000650703791374j) (0.0376971392298+0.00662404166954j) (0.0268220154839+0.00871086310112j) (0.0222282395561+0.00560122104799j) (0.00525233836695+0.00493513594127j) (-0.0103162501129+0.00264211476987j) (-0.0119383616187+0.00506256495158j) (-0.00983431294452+0.00346269786902j)
(0.00650478896841-0.00203356571071j) (0.0104947367987+0.00644707557386j) (0.0154325435483+0.00672070105883j) (0.0142790138861+0.00888099944085j) (0.0167612590875+0.00505683957585j) (0.0102763251882-0.00189633677111j) (0.00433019780603-0.00195915774236j) (0.00599451788292-0.00910011281324j) (0.00691221264563-0.0082210538256j) (0.00135047799191-0.00402800058818j) (-0.00428425004671-0.000196263247812j) (0.00630988129394-0.00129522070261j) (0.0192395451189+0.00577029638785j) (0.0190661152173+0.0140082286502j) (0.017771164558+0.00216076597968j) (0.0219444244931+0.000954549771975j) (0.0191268876251-0.00720780103019j) (0.00895879592525-0.00618691150383j) (0.0021774695054-0.001096903886j) (-0.00101737215632-0.00487467848136j)
(0.0124966807118+0.00477234153702j) (0.0269595530357+0.0175300174661j) (0.0327243780642+0.0258020943655j) (0.0297279802674+0.0201668305697j) (0.0249115016737+0.00365982365633j) (0.0192706293654-0.00473984255345j) (0.00534211041375-0.0125971789653j) (0.000191050267694-0.0106196947922j) (-0.0056662184737-0.0074322938317j) (-0.00629275989655+0.00199351022903j) (-0.00727992455372+0.0108147987406j) (0.0100847862422+0.0122411681759j) (0.0205619087093+0.0107699727102j) (0.0219715779898+0.00662464723231j) (0.0209817367195-0.00327952026575j) (0.0150598168805-0.00790887277236j) (0.0083789516399-0.0114408642093j) (-0.00223335531821-0.0130382442983j) (-0.00695032843334-0.0111876523196j) (-0.00733068307682-0.0157779035816j)
(0.00538702311915+0.023006716686j) (0.0178461040406+0.0418238851329j) (0.0230377550768+0.0474871479919j) (0.0264907965842+0.0291929242858j) (0.0312043332687+0.000190462014964j) (0.0329956080533-0.0263567241905j) (0.0240326233835-0.0472621587592j) (0.0149142537493-0.0486068138039j) (0.0036555002636-0.0325297289258j) (0.00506388494966-0.00629561671511j) (-0.00295586273816+0.0325942612433j) (-0.00146852669747+0.045084758379j) (0.00846153575423+0.0523398293224j) (0.0085954759519+0.0425892623895j) (0.00987321905925+0.0159410838576j) (0.014520258065-0.0142976908412j) (0.0127011575276-0.0311707458501j) (0.00805862259387-0.0372602907091j) (0.0052015267777-0.0361330899412j) (0.00500431252487-0.0273647910606j)
(-0.00527617181224+0.0146758395189j) (0.00331922502889+0.0239519890841j) (0.00462035738558+0.0221859414373j) (0.0178911350595+0.0146399614451j) (0.0237560005335+0.00214057028128j) (0.0339561825887-0.0184246818407j) (0.0315915269359-0.0342263317352j) (0.0175410490599-0.0397482557887j) (0.0083159950676-0.0312483690218j) (0.0039686146059-0.0134608324384j) (-0.010664539819+0.0174675866437j) (-0.00434906635254+0.0327728378801j) (0.0026619474071+0.0449246510825j) (0.00610683011074+0.0481787004952j) (0.00982994396093+0.0288459510214j) (0.0145980423028-0.0054378277336j) (0.0154854283911-0.0248291530423j) (0.00755626786838-0.0377722097517j) (0.00410975627106-0.0380317455447j) (0.00734705761741-0.0204618346665j)
(-0.036318294714-0.00921886650048j) (-0.0555415895054-0.0121805394779j) (-0.0565627908983-0.0117572388069j) (-0.0291017288616-0.00675960776038j) (0.00490492302025+0.0075643435743j) (0.0473950713717+0.00531701886003j) (0.067433287869+0.00609049543616j) (0.0780262034547-0.00037727168449j) (0.0661912162261-0.00111035811002j) (0.0204878168135-0.00693229132112j) (-0.0280042973028-0.00441446846928j) (-0.0573215026265-0.00411966419879j) (-0.0665333870119-0.00793275717283j) (-0.0449379421063-0.00166794358474j) (-0.0122763618183+0.00633792461079j) (0.0247690580397+0.00986065254895j) (0.0603373849009+0.0125370584404j) (0.0771296269153+0.00558797605179j) (0.0702366504413-0.00137775894513j) (0.038576237698+0.00102180436411j)
(-0.0251698121187+0.0467345622357j) (-0.0356333085321+0.0756159557726j) (-0.0289851403033+0.0820902594278j) (-0.0100446280274+0.0638715636847j) (0.0152416401095+0.0252011737963j) (0.0433279592848-0.0284510692574j) (0.0556868000025-0.0737297127908j) (0.065298183576-0.0970559934453j) (0.0600830130466-0.0797415720487j) (0.0216592515354-0.0388190391351j) (-0.0180824445641+0.0165850794452j) (-0.0449262628579+0.0601023609808j) (-0.0528707644962+0.0911610015132j) (-0.0370017881827+0.0795265348688j) (-0.0076529798707+0.0522139647116j) (0.022147376743-0.00265373360475j) (0.0546247700455-0.0512694260115j) (0.0669878567498-0.0905103328482j) (0.06120022056-0.0923138776252j) (0.03443835558-0.0607954279258j)
(-0.00928201033406+0.111982827142j) (-0.0113789561177+0.178065467171j) (-0.00570023734959+0.187147659582j) (0.00269090562396+0.126553930995j) (0.0179304750396+0.0278391862145j) (0.0244082310017-0.0807023344328j) (0.0318679145084-0.161006853817j) (0.0280025635561-0.187535820469j) (0.0248559392227-0.155587464316j) (0.00822166097508-0.0637263563728j) (-0.00357570355057+0.0555750999095j) (-0.0114023013014+0.149887436154j) (-0.0158036856874+0.20331368405j) (-0.00400303122116+0.177595614338j) (0.00484106181476+0.097017595344j) (0.0143751429373-0.0324864630659j) (0.0294051462968-0.134877235977j) (0.025262004152-0.20045422284j) (0.0203126327478-0.197624982064j) (0.0138802689243-0.125618852064j)
(-0.120256102795-0.0263404694353j) (-0.200913030315-0.0445742035426j) (-0.206471076568-0.0553647632384j) (-0.136938793477-0.0353561721668j) (-0.0138935700303-0.00432523067818j) (0.114133455793+0.023364224892j) (0.203036596606+0.0464087821546j) (0.22835099478+0.0545744222376j) (0.17693129258+0.0349357704486j) (0.0637727824961+0.0177809542002j) (-0.0657061458921-0.0132625549363j) (-0.170366950341-0.0343551253512j) (-0.214050859534-0.0479854850406j) (-0.17726629774-0.0340408664575j) (-0.0761993220902-0.0139537483766j) (0.0542168003645+0.0026886055176j) (0.164737886697+0.0264536331802j) (0.219196606308+0.0399662707419j) (0.20300770257+0.0350488836664j) (0.118756549363+0.0230960768684j)
(-0.0512483658458-0.0842113501744j) (-0.0879121234189-0.133937362289j) (-0.0857529912052-0.142831110402j) (-0.0496694554434-0.0975878085119j) (0.00163486274505-0.0131232421661j) (0.05480876402+0.0672585948052j) (0.0908581080622+0.132708548648j) (0.0997106378244+0.147460843982j) (0.0781940572911+0.116244719768j) (0.0274440655187+0.0482692840975j) (-0.0250433631678-0.0365635756421j) (-0.0658243189395-0.107550036443j) (-0.0851858194361-0.141372484047j) (-0.0681077802739-0.120713799579j) (-0.029314923753-0.0666374209607j) (0.0267856481051+0.0123458008991j) (0.0786042778539+0.0842946560127j) (0.100533888757+0.127270290115j) (0.0905917497964+0.120508066546j) (0.0556543620285+0.0726913765355j)
(-0.0224807525892-0.0256819804921j) (-0.0381868128004-0.0394691619816j) (-0.0293409115275-0.0437978365245j) (-0.0169628218306-0.0330014394571j) (0.0026175581639-0.00140114055836j) (0.0198894048759+0.0240565511254j) (0.0325840097258+0.0446553755862j) (0.0421401581351+0.0538536957497j) (0.0309920388655+0.0422512524892j) (0.0130644446618+0.0135673514575j) (-0.0078720364504-0.0125444907685j) (-0.0230391707353-0.0369104249278j) (-0.0358450082519-0.0473596687687j) (-0.0263568460148-0.042009059378j) (-0.00625196273162-0.0214607233546j) (0.0164745024191-0.000371316168322j) (0.0335212084226+0.0259842880896j) (0.0388621961345+0.034828493675j) (0.0407249542927+0.037247680058j) (0.0267836058195+0.0199858937041j)
(0.0134590390702-0.00102505385526j) (0.026333320981+0.00467530687174j) (0.0321499423967+0.0104026104065j) (0.0294955469319+0.0024625495476j) (0.0184156020257+0.00575794162497j) (-0.00208420706117+0.000752016093281j) (-0.0223907843359+0.00159650991312j) (-0.0261221536509+0.00228024853252j) (-0.0253751027254+0.00153936973232j) (-0.00857161191996-0.000434328174596j) (0.0173489938002+0.00533119139433j) (0.0302952771198+0.002909024373j) (0.0328142510686+0.00292489092385j) (0.0341531720842+0.00212537530307j) (0.0235473992768+0.00309991445493j) (0.00111504986737-0.00880518310318j) (-0.0238016801319-0.0115142382172j) (-0.0363806665364-0.0160878396939j) (-0.0332581552767-0.0146062109384j) (-0.0147428100555-0.00935456222217j)
(0.0293013686751-0.018069219362j) (0.0419141353479-0.0183630941151j) (0.0556011743865-0.0193045605774j) (0.0569966043184-0.0100186609431j) (0.034742165999+0.000126558844003j) (0.00249920840786+0.0107579785525j) (-0.0289485048744+0.0169057832289j) (-0.041909131647+0.0276571367857j) (-0.0369455608558+0.0148079050706j) (-0.0207965369769+0.0064512290584j) (0.0172196893219-0.00681135373191j) (0.0407962520432-0.0109275335814j) (0.0618605431861-0.0144051765738j) (0.0711698677411-0.0162701101268j) (0.0558443622281-0.00795613025887j) (0.014537960456+0.00221187082677j) (-0.034075318867+0.00911108947999j) (-0.0633813215069+0.00328791322161j) (-0.0740345670839-0.00160867216785j) (-0.0418632006444-0.00130885057215j)
(0.0227628656777-0.0140659313407j) (0.0339081108501-0.0131740312366j) (0.0438175728435-0.0170360596877j) (0.0365076288381-0.00329512819565j) (0.0294103392405+0.00477712650945j) (0.00622595706836+0.0174545062643j) (-0.0114400019004+0.0189259063032j) (-0.0220509165245+0.017278102688j) (-0.0120833612+0.0104063353148j) (-0.00666667658911-0.00191050833341j) (0.00385412217126-0.0145739702335j) (0.0183103267531-0.0169700856724j) (0.0407220535076-0.0148480774496j) (0.0504831051149-0.0113259250466j) (0.0325845205357+0.00269041157691j) (0.0140805557823+0.00570941160132j) (-0.00867457085912+0.0114103254406j) (-0.0260313155427-0.000410715321276j) (-0.0365410246949+0.000130491852537j) (-0.0277193930372-0.000606297935304j)
(0.010491889452-0.0130502566805j) (0.0217707943792-0.0095953309659j) (0.0274276924999-0.00693913600843j) (0.023214625299+0.00265081841607j) (0.024636152302+0.00840423842822j) (0.0140571585433+0.0100849903728j) (0.0044590682668+0.00921421605314j) (-0.010935148256-0.00138643107216j) (-0.00896786511353-0.00352670403416j) (-0.00332257009403-0.0157430819069j) (0.00100627693679-0.0114589816223j) (0.00731382581251-0.00702643194687j) (0.024181364085-0.0031024478779j) (0.0321652394346+0.00833827150223j) (0.0275375685888+0.0132326814027j) (0.024025172163+0.00633372664376j) (0.00356048145917-0.000243279731671j) (-0.00989137670922-0.00361111440182j) (-0.0125964540329-0.00250637344493j) (-0.0163557961694-0.00181503738583j)
(0.0096812771035-0.0194098633666j) (0.0273185920527-0.018695044028j) (0.0362689353335-0.00877559328658j) (0.0304673097704-0.00028878110675j) (0.0191326431745+0.000545830659861j) (0.00659572122392+0.00511525900167j) (0.00444459253119+0.00434912984449j) (-0.00479890021044-0.00283675766957j) (-0.00370221054536+0.00306015935612j) (0.00433066873927-0.000130459964204j) (0.0111030163552+0.000537312843907j) (0.0135186097379+0.00273309274821j) (0.023763457761+0.000459439412736j) (0.0250651239338+0.000776526350035j) (0.0267194248889+0.00208639601305j) (0.0199152392296+0.000436210042566j) (0.00648306242617-0.00147331225403j) (0.000725073048746+0.00214567775552j) (-0.00557959480391+0.000301642939753j) (-0.00518473324098-0.000293494867145j)
(-0.0207026764227-0.00605638322873j) (-0.0175063133975-0.00259204410817j) (-0.0193341037717-0.00322511939624j) (0.00199709792251-0.000613096392842j) (0.0197833001852-0.00182639725865j) (0.0326751544547-0.004091965978j) (0.0498759496044+0.00511809986038j) (0.0396678194793+0.00162201501062j) (0.0248831610386+0.0152154060717j) (0.0125837260049+0.0121218701952j) (-0.00525443026557+0.0110443517072j) (-0.0237943292298+0.00292200339054j) (-0.0291539879531+0.000889083973085j) (-0.010060174543-0.00100417856696j) (0.00474198084431-0.00685094703273j) (0.035299766066-0.00652045358795j) (0.0353556540563-0.000529480015267j) (0.0365084634151+0.000787227418984j) (0.032083619724-9.91858754987e-05j) (0.0242632064855-0.00540150406139j)
(-0.00233438292176+0.000802298728933j) (0.00380944198143+0.000112714826408j) (0.0137729145681+0.000630972403823j) (0.0215242689107+0.00529225329181j) (0.021750447968+0.00235048294119j) (0.0160493831585+0.00783876638506j) (0.0112850146454+0.000622064912737j) (-0.000306031753013+0.00452568914433j) (-0.00198179371086+0.00905876617627j) (-7.34309954487e-05+0.0116054123591j) (0.00871704186459+0.0080898569787j) (0.00602012738569-0.00127321732003j) (0.0159767455183-0.0151169968311j) (0.0252043943644-0.023426789506j) (0.0200632565562-0.0253467245501j) (0.0251193343846-0.00551050451816j) (-0.000938812984718+0.00848634611612j) (-0.00927703016903+0.0209200934031j) (-0.00765543636193+0.0201175454673j) (-0.00298436588768+0.0116472222347j)
(0.00566709342509-0.0106262127264j) (0.0167658868195-0.0205084354411j) (0.0260256963581-0.0156800948209j) (0.0209591961946-0.00686120894382j) (0.0168614240924+0.000404763218084j) (0.0162170252748+0.0101044678276j) (0.00650565399885+0.00845087436243j) (0.00735091519675+0.017219558525j) (0.0104612985501+0.0131739357005j) (0.00740394537174+0.0105246218882j) (-0.000464560561199+0.00961114484205j) (-0.0027917260951-0.00760985705305j) (0.00150201931472-0.0198527828788j) (0.00896340967076-0.0276669543776j) (0.0124263707901-0.0188953125429j) (0.0225484430134-0.003606937868j) (0.0213825318969+0.0129285046949j) (0.0211846500213+0.0322838254815j) (0.0186004644852+0.026791196371j) (0.0131749278989+0.0160149933509j)
(-0.00651526094634-0.00931867386376j) (0.00367716762695-0.0189030308346j) (0.00657752709862-0.0115420688682j) (0.0215825734791-0.0107690164929j) (0.030236788175+0.000648695479196j) (0.0353919105991+0.00372027672782j) (0.0131036296272+0.00213024471705j) (0.00931335498444+0.00857776967705j) (0.0057900945133+0.0075719904343j) (-0.00956748316959+0.0135635220787j) (-0.013141721991+0.0158477914101j) (-0.0019046547281-0.00254252137687j) (0.0069519894581-0.00471013320349j) (0.0234597360869-0.0118249599224j) (0.0231681732332-0.00102917955432j) (0.0245099173276-0.000892802528288j) (0.0170359340371+0.000375416944047j) (0.0109407759244+0.0091974895179j) (0.00256972841378+0.00496758098154j) (0.000869403514093-0.00206387848079j)
(-0.00784524563438-0.00305689650822j) (-0.00783781511284-0.0066414073773j) (-0.00546045806354+0.00864989650959j) (0.0177944248646+0.0106918302706j) (0.0393868305056+0.0113990158071j) (0.0463627388797+0.00174970427162j) (0.0348504567411-0.00440371218254j) (0.0249777901228-0.00849554560718j) (0.00986582825203-0.0115638899508j) (-0.0132451950411-0.0112946815607j) (-0.0247712820964-0.0084117089069j) (-0.0190089906947-0.00560046281082j) (-0.00305278338129+0.00632887099923j) (0.0117282907817-0.00146161673811j) (0.0198946764149+0.00587212203177j) (0.0205812339026+0.00892984521737j) (0.0169537556024+0.00418541277683j) (0.0245903423511+0.00311991945427j) (0.00993914362535+0.004695771184j) (0.00920460490928-0.00121234782503j)
(0.0113037267307-0.0255251246917j) (0.0208017828113-0.0352082829331j) (0.0315172778841-0.0111774017859j) (0.0283083440858+0.0103901325695j) (0.041452803059+0.0247575009413j) (0.0346698774646+0.0228569691529j) (0.0181618765947+0.0123177808053j) (0.00316906135873-0.00655852671384j) (-0.00739564443625-0.0149798572527j) (-0.00911427975103-0.0234132067247j) (-0.00106478573044-0.0323219038184j) (0.00366704331183-0.0198342700388j) (0.0215268229238+0.00253703104641j) (0.0298076817005+0.0206892735693j) (0.0366619028096+0.0286119808813j) (0.0196191031629+0.0225982010409j) (0.00295596577422-0.00107381602121j) (0.00062321114124-0.00790564739382j) (-0.0112122838829-0.0268076391831j) (-0.00118605205638-0.0142849036696j)
(0.0235266431848-0.0287682153115j) (0.0319811921839-0.0455183246301j) (0.0392983046327-0.0291987910343j) (0.0275958776108+0.00437510145127j) (0.0202497575326+0.0322196510428j) (0.010436470002+0.0357079907049j) (-0.00316486096939+0.0278153394975j) (-0.00121008081025+0.00112244837564j) (0.00679757243841-0.0194248786342j) (0.0150027255213-0.0258903776775j) (0.0127284419401-0.0384142081304j) (0.0119267667983-0.0257780994063j) (0.0164582607821-0.0111530663212j) (0.0207659350799+0.0141340155844j) (0.027566375329+0.0246625889545j) (0.0208766366303+0.0201021603299j) (0.00611222905721+0.00417203906731j) (0.00112947567949-0.00312537693857j) (-0.00544962350729-0.0100505307134j) (0.00188646377904-0.00698726509132j)
(0.0105790725527-0.0118879617996j) (0.0227056213437-0.01436989109j) (0.0273911155854-0.00996857023183j) (0.024181907684+0.00432495512369j) (0.0161616641532+0.0234875377333j) (0.00613081991309+0.0175224177175j) (-0.00172190099564+0.00718256418523j) (-0.0107073675256-0.0117326047405j) (0.00274466725382-0.0259039328443j) (0.0119025454495-0.0297755289399j) (0.00675349183606-0.0211439957304j) (0.0109687736693-0.0011387622763j) (0.0174990383976+0.0172569442997j) (0.0235413456424+0.0248697399332j) (0.0239673371403+0.036500518408j) (0.019138564495+0.0167358292686j) (0.00533448144999-0.00906572948035j) (-0.00257519544648-0.0248939015651j) (-0.00664131885748-0.0269780165515j) (-0.00855507527402-0.0194960268912j)
(0.00686845985661-0.0124939153369j) (0.0103391574421-0.0085785668184j) (0.0031945438286-0.0159976605226j) (0.0118379165362-0.0107615028151j) (0.0166714197645+0.0106239247933j) (0.0219135240911+0.0136502951456j) (0.0237667859553+0.0284029218354j) (0.0103708085712+0.0089248521241j) (0.00682404573932-0.00393673820481j) (0.00307828024043-0.0255524201941j) (-0.00756105280254-0.0337217484278j) (-0.0030190307084-0.0170399291908j) (0.00772182494182-0.00044820590659j) (0.0214610635798+0.0134528766571j) (0.0308750384189+0.0283650243977j) (0.0312261578872+0.0196045899071j) (0.018864718392+0.00375052366763j) (0.0089147356837-0.00996703323427j) (-0.00152204561937-0.0178298202562j) (-0.00464379611259-0.0154681625022j)
(-0.00846656443995+0.000607011945449j) (-0.013600193036+0.00655727791912j) (-0.0127753091937+0.0139928631237j) (0.00326085589461+0.014352095582j) (0.0258361162019+0.0167118244263j) (0.0391559021254+0.0138057580256j) (0.0445943232286+0.0167342794377j) (0.0308039355198-0.00808428744552j) (0.0078312925543-0.018800694325j) (-0.00834248243286-0.0347679844357j) (-0.0223224784235-0.0389538165175j) (-0.0252561310631-0.00838991943956j) (-0.000551084799419+0.0144850561866j) (0.0170428300614+0.0110703633872j) (0.0369670184729+0.0109566032724j) (0.036509001345+0.0157896953797j) (0.0201190531902+0.00447672216831j) (-0.00232026241946-0.0087312472085j) (-0.00423762833726-0.0182970080447j) (-0.0078179250066-0.019326027214j)
(-0.00723523392511-0.0132831158466j) (-0.0141165437041-0.0156179745911j) (-0.00933035544335-0.00184736290881j) (-0.00192751673016+0.00628681444449j) (0.00782917604132+0.0206549434367j) (0.0219401348043+0.0237766939202j) (0.0281784280828+0.0171992369836j) (0.0193358737286-0.00615217951071j) (0.0112033097599-0.0238070455617j) (-0.00869328415801-0.0370150110885j) (-0.0164964904953-0.0369307736235j) (-0.0170208276754-0.0117896336337j) (-0.000512931404034+0.00875494483595j) (0.0210171972927+0.0160088472444j) (0.0331388172125+0.0184145654734j) (0.0257732017053+0.0205436749388j) (0.0170663973298+0.00574763534015j) (-0.00433580073706-0.00850983928735j) (-0.0123583796177-0.0148466015005j) (-0.0124127114955-0.0161124639171j)
(-0.0116857122763-0.0197009921113j) (-0.0159664418167-0.0311346716925j) (-0.00535598671859-0.0169877004846j) (0.00371536828355+0.000591110024428j) (0.0119279683537+0.0224709964313j) (0.0208676169423+0.0316290640313j) (0.0226960572723+0.0268219416393j) (0.0187894072728+0.00376638594898j) (0.00787265055758-0.0183069974541j) (-0.00819979696157-0.0252386708161j) (-0.0127797966875-0.0344580913622j) (-0.00571226274819-0.0154378663437j) (0.00591880459554+0.0027631618036j) (0.0174772054486+0.0209556213496j) (0.0235832096253+0.0367205537032j) (0.0148004883281+0.0241539487062j) (0.00499949968983-0.00251217027641j) (-0.00414612230145-0.0352295212255j) (-0.0129748979724-0.0435287063378j) (-0.0114275264987-0.0340839093074j)
(0.00554181784895+0.0026448234575j) (0.00599230158374-0.00329768971037j) (0.0153187190252-0.00310721126723j) (0.0237907091443-0.0035326047548j) (0.0136292399137-0.00548010440888j) (0.0116506538298-0.00783164778247j) (0.0112802795764-0.00232956012002j) (0.00904891506877-0.00342996601801j) (0.00320557050275+0.00650807219933j) (0.00544597933342+0.00724908591424j) (0.0146282128913+0.00394459995326j) (0.0111833931938+0.00221590297919j) (0.0124615478955+0.0117329222768j) (0.0104541321143+0.00896947875663j) (0.00632423254045+0.0150101420208j) (0.010374737997+0.00774761212057j) (0.0106234635703-0.00193332130265j) (0.00442169741389-0.0186340166526j) (0.00263111513256-0.0277692099777j) (0.00115130645592-0.0200323965784j)
(0.0107741077799+0.0175333846422j) (0.00876981392521+0.0273654485705j) (0.0158644019299+0.0192415908395j) (0.0213718540296+0.000208978064714j) (0.0234732041928-0.0195462397057j) (0.0191646382751-0.03355768148j) (0.0173860816319-0.0311216699103j) (-0.000689310031972-0.00892259470896j) (-0.00767834361297+0.00379311643314j) (0.00122222714211+0.0114265674055j) (0.011253101472+0.0120068331761j) (0.00850285752917+0.0139877305304j) (0.0144126754125+0.0185900404152j) (0.0204156917115+0.00413591160482j) (0.0229264367505+0.00369877048475j) (0.0240061981589+0.00443291905452j) (0.012272604637+0.00476875823984j) (-0.00432891918448-0.0104483633765j) (-0.00368637063136-0.0117396908948j) (-0.00609384062818-0.0074758835082j)
(-0.00833295288791+0.00131611227959j) (-0.0105428892827+0.0120832184263j) (-3.32389526723e-06+0.0100818847899j) (0.0159872728038+0.00211721132493j) (0.0305947695244-0.00143336937511j) (0.0275411621587-0.00600354303129j) (0.0113612693804+0.000469565105887j) (-0.00202372375398+0.00736859022708j) (-0.00608908494253-0.00237511388285j) (-0.00514051629268-0.00260249217505j) (5.45534424618e-05+0.00129011089336j) (0.0105909965495+0.0149730386076j) (0.0240227931496+0.0182881036951j) (0.0352892552384+0.00950349166527j) (0.0351864081262+0.00384693583962j) (0.0285180316354-0.00576203687363j) (0.00520193910374-0.0137219266446j) (-0.0162717359678-0.0119920894553j) (-0.0194114979291-0.0151716110118j) (-0.0173729139375-0.0094122607048j)
(-0.0179086188659-0.00365103755162j) (-0.0195641922823+0.00173032081728j) (-0.0107748311684+0.000710069652532j) (0.0205197416181+0.0101329214857j) (0.0376848321725+0.000699366890788j) (0.0387872095538+0.00739617638003j) (0.0247964107167+0.003991891954j) (-1.31305123426e-05+0.00376340099257j) (-0.0332306610285+0.00275494315077j) (-0.0342198496381+0.00225796281656j) (-0.0214470505121+0.00492803090881j) (0.009387040621+0.00880870417622j) (0.0369186807692+0.0024190512838j) (0.0593110576521-0.00562457407896j) (0.0486033758335-0.00243172796484j) (0.0277476588798-0.00459409899977j) (-0.00777249249331-0.00437354356291j) (-0.0313205867723-0.00451405416398j) (-0.0362886473452-0.0146843752219j) (-0.0279228152085-0.00634599187689j)
