(-0.00233758713911+0j) (-0.00372276661379+0j) (-0.000279788345642+0j) (0.00493313191902+0j) (-0.00268041442962+0j) (-0.00266043948858+0j) (-0.00189147702748+0j) (-0.00363783161038+0j) (-0.00377731027188+0j) (0.00332512518519+0j) (0.00504445330641+0j) (0.00507914027738+0j) (-0.00350787066682+0j) (-4.26152142232e-05+0j) (0.00160511649392+0j) (-0.00679344531575+0j) (-0.00719808487728+0j) (0.0033178936095+0j) (-0.00471480397703+0j) (-0.00359567604014+0j)
(0.00908312076066-0.0114093597011j) (0.0226308136143-0.019890611393j) (0.03195888501-0.0289801858016j) (0.0431867579193-0.0321632576893j) (0.0534144564723-0.0320351903188j) (0.0548360870851-0.028038424231j) (0.0531194815247-0.0204726597997j) (0.0545062621217-0.0147854966345j) (0.0447747422186-0.00703675897088j) (0.0382827016185-0.00109616544881j) (0.0265450785611+0.00513037622989j) (0.0146725251138+0.0139320326255j) (0.006251613571+0.0195312294693j) (-0.018999301792+0.0260963488012j) (-0.0172631824643+0.0240410252306j) (-0.0237418687215+0.02284006783j) (-0.0183065623164+0.0211574316834j) (-0.0164751717201+0.0129629296921j) (-0.013559582422+0.00827675919336j) (-0.00794513824288+0.000206937615107j)
(0.0068379267346-0.00417280369237j) (0.0161462452655-0.00701105895267j) (0.0214526808946-0.013385442492j) (0.0245195634675-0.0159535324692j) (0.0310233407014-0.0207464179997j) (0.0339171315943-0.0166815211157j) (0.0348266292359-0.0148442369638j) (0.0304611278016-0.00923217588503j) (0.0238194637475-0.00338780989798j) (0.0219597780982+0.00077251528329j) (0.0115211886366+0.00296999388565j) (0.00669272081543+0.0102732270374j) (0.00275041752905+0.0133785287257j) (-0.0117633491779+0.0203687544446j) (-0.0118956268809+0.0201295245653j) (-0.0145654475773+0.018126821214j) (-0.0155143094292+0.0189196393038j) (-0.013416218988+0.0156641202224j) (-0.0124997808612+0.00936699750984j) (-0.0104375474567+0.00218853413938j)
(-5.70572744545e-05-0.00625817445214j) (0.0032277515785-0.00997271619524j) (-0.000653031336659-0.0112547903159j) (-0.0030481063365-0.0111282470997j) (0.00187476651647-0.0156814166918j) (0.00364343042219-0.0160158962383j) (0.00614500852231-0.013428474704j) (0.00833812618608-0.0119882964731j) (0.00750568891286-0.00518836966409j) (0.0176408719023-0.00241768814459j) (0.0124232216886+0.00436065230593j) (0.0154782865801+0.00636896668755j) (0.0182021693831+0.00724715831682j) (0.0193880822114+0.0133037922855j) (0.0183674796462+0.0153215723457j) (0.0143766823036+0.0199362198968j) (0.0129931827802+0.0206284632832j) (0.00937416968459+0.0117167175474j) (0.00872756147237+0.00840101304546j) (0.0020770986396+0.00583672101617j)
(-0.00420378141316-0.00694642092242j) (-0.00722562616487-0.0110398103172j) (-0.0141495432976-0.00976903300189j) (-0.0132841947145-0.00986918200141j) (-0.0116674136233-0.0084363190158j) (-0.0102241829179-0.00782975367287j) (-0.00345617258639-0.00428239242042j) (0.00172696933113-0.00199202338577j) (0.00585261082698+0.00350585497349j) (0.0151953991581+0.00511946802565j) (0.0138278572971+0.00702406885389j) (0.0168140386307+0.0025707125481j) (0.0171863871976+0.000593462581372j) (0.0218892882586-0.00234099137191j) (0.0210645603779-0.00227264418154j) (0.0187853111368+0.000254806253495j) (0.0177153205109-0.00269786149345j) (0.0144562591929-0.00676709326029j) (0.0130583947959-0.00770953807964j) (0.00503932971778-0.00454784502283j)
(-0.00421118562268+0.000885141512465j) (-0.00555991389259+0.0035579654035j) (-0.0101084424835+0.00509846646321j) (-0.003081081154+0.00971410249537j) (-0.000270237130118+0.00933098638728j) (0.00308754821026+0.00706158899744j) (0.0081610196064+0.00861479568423j) (0.0149752051162+0.0030072698504j) (0.0166198340497+0.00426953120076j) (0.0195439038035+0.00311556402303j) (0.0195822727844+0.00103074452798j) (0.0218101363912-0.00345306072658j) (0.0191956460839-0.0042676657642j) (0.0124950975692-0.00534116805012j) (0.0161644821307-0.00838211900471j) (0.00963135792293-0.00651546877221j) (0.00669069270769-0.00790331113851j) (0.00100190330038-0.0106533934363j) (0.000379509945557-0.00659040266719j) (0.000120849896228-0.00287945124299j)
(-0.00443665593289+0.000589560002616j) (-0.00640111424911+0.00403760316542j) (-0.00913854575087+0.00989136014888j) (-0.000528274704336+0.0111513872548j) (0.000317373897673+0.0067722847835j) (0.00483580407072+0.00634796045389j) (0.00530926949815+0.00613324047392j) (0.0110854943371+0.00150966612369j) (0.0157081124485+0.000767328523762j) (0.0176349384664+0.000405804996704j) (0.0179680239098+0.000638590657308j) (0.0236888313669-0.0026387928128j) (0.0239063228683-0.00437909736137j) (0.0182571809429-0.00546722202732j) (0.0199712890584-0.00654190725922j) (0.0137147263938-0.00453135271059j) (0.0139924053898-0.00484723997518j) (0.00986334651469-0.0086940730563j) (0.00473358759564-0.00656075383673j) (0.00503330797036-0.00478884315928j)
(-0.00701333467241-0.00476546448695j) (-0.00508454840186-0.00258827799925j) (-0.00759345535075-0.0026269611414j) (-0.00462938636469-0.00272617747649j) (-0.000741345119877-0.00462431598167j) (0.00324717967394+0.00170547297088j) (0.00670465017926-0.00246750985084j) (0.0145344091249-0.0033306090097j) (0.0210216433956+0.00467733482307j) (0.0283330068747+0.00492565266827j) (0.0288928465631+0.00629581794984j) (0.0339602576762+0.00401218988575j) (0.0320831289638+0.00436131879443j) (0.0232206785272-0.000427112806843j) (0.0217732103256-0.00182089800625j) (0.019828104181-0.00332541699799j) (0.0161105146402-0.00385479971674j) (0.0128006206191-0.00749957950918j) (0.00635781943781-0.00489259617059j) (0.00556515832834-0.00567848138063j)
(-0.0007911961252-0.0036839608585j) (0.00562735504273-0.00143735289887j) (0.00747245430908-0.00256605930208j) (0.010998574093-0.00142423870586j) (0.0175576162365-0.00167410093642j) (0.0222142025904+0.00356201017805j) (0.0249627282795+0.0024399144034j) (0.0287967034623+0.00059643280041j) (0.0274737913819+0.0104558459746j) (0.0343269336006+0.00817513931018j) (0.0311493531241+0.00642120377402j) (0.0261159305775+0.000509487123486j) (0.0230062272373-0.000591317117203j) (0.011824486812-0.0101086361595j) (0.00424259491039-0.00976465618895j) (0.00440961972469-0.0146225131165j) (-0.00808774942659-0.0168094041112j) (-0.00500342522849-0.0154839177405j) (-0.00472488060901-0.00656169437013j) (-0.000999250740816-0.00760729489351j)
(-0.000514827675853-0.00358393993124j) (0.00448200491263-0.00468709049491j) (0.00735842774245-0.00394615186039j) (0.0118853350379-0.000999373139802j) (0.0183634719351-6.63679125535e-05j) (0.0232249589195+0.00563618324927j) (0.0249796165268+0.00761224479576j) (0.0283540386526+0.00514775561457j) (0.0274736443036+0.0128386970634j) (0.0260802569831+0.00516091636396j) (0.0239176560983+0.00466977890207j) (0.017502635466+0.00112353504308j) (0.0118477088412-0.00291369570369j) (0.00263462916494-0.00722276870186j) (-0.00397786983586-0.00196983380466j) (-0.0119642478084-0.00951358196023j) (-0.0164960462804-0.00847034160871j) (-0.0166592751191-0.00647921763707j) (-0.0111953618225-0.00306883792638j) (-0.00850137746214-0.00553434278637j)
(-0.00279691031552-0.00563689275301j) (0.000203849254077-0.00739323126731j) (0.000544844432681-0.00650936089812j) (0.00153990445724+0.000436267799856j) (0.00781142344539-0.00251116006594j) (0.0128013884676+0.0023468411607j) (0.016640415611+0.00904821301473j) (0.0215416027139+0.0135718626075j) (0.025320381559+0.0161808639087j) (0.0221783527983+0.0079605647414j) (0.0251388478644+0.00740782363239j) (0.0188123854923+0.00220664896469j) (0.0161106614092-0.00079669910672j) (0.00703627979687-0.0122752348585j) (0.00679742799576-0.00846478567635j) (-0.0056784183305-0.0122215495926j) (-0.00867494846715-0.0114687346607j) (-0.0125084617073-0.0111635348894j) (-0.0105015689826-0.00883950829773j) (-0.00696130175607-0.00693339352687j)
(-0.00607251424312+0.00147838601567j) (-0.00655199540671+0.000498046390266j) (-0.00557449054513+0.00821328072404j) (-0.00162254229529+0.010726805167j) (0.00512416178949+0.0119490035733j) (0.00764604773354+0.0114679254685j) (0.0214916353355+0.0155054283749j) (0.0270412200664+0.0165517468618j) (0.0303803719524+0.0153294855354j) (0.0289228026966+0.013853690749j) (0.0349016191815+0.00659124857893j) (0.0270312392552+0.00366864816162j) (0.0254598771802-0.00110086886929j) (0.0191572899243-0.0236309831912j) (0.015853665768-0.0227826142409j) (0.00783246869473-0.0269640834548j) (-0.00111233713632-0.0279662856609j) (-0.00948871694304-0.0221374046161j) (-0.00523552367684-0.0190185408009j) (-0.00624579220066-0.0103248271437j)
(-0.00793041687365+0.000709717036088j) (-0.0079432724552-0.00429908492508j) (-0.00751902726491+0.00157013857621j) (-0.00400333152671+0.00125074116541j) (0.00191422201966+0.00183421745818j) (0.00650757874601+0.00308421148266j) (0.0179805594875+0.00184441457101j) (0.0247276186092+0.00295590810819j) (0.0306891345309+0.0021113905105j) (0.0284278250556+0.004647642755j) (0.0316418024083+0.0068738071719j) (0.0223808218059+0.00776370491004j) (0.0216617754757+0.00512269083832j) (0.0107724408311-0.00500499076348j) (0.00799696824038-0.00624137560976j) (-0.00394029286102-0.00792975989466j) (-0.00469053296803-0.00413553585779j) (-0.0105079444065-0.00522257432956j) (-0.00662537694275-0.0107768518791j) (-0.00517212211896-0.00477927987236j)
(-0.00733703470034-0.00114674434871j) (-0.00813322052608-0.00719563133081j) (-0.00751249320295-0.00639975363863j) (-0.00518838002394+0.00156293309048j) (0.00347032899881+0.00262694259714j) (0.00702154457487+0.0062161437116j) (0.011880854032+0.00734460874003j) (0.0203046872066+0.00582339329082j) (0.0266639294819+0.00495972443034j) (0.0295527780334+0.00265145132695j) (0.0341991628727+0.00298814836986j) (0.0284694407189+0.00338579144616j) (0.0282762810827+0.000117060649829j) (0.0145255249165-0.0049340946463j) (0.0112039081641-0.00384509426849j) (0.00208233360157-0.00363050656161j) (-0.00317881915665-0.00277319753938j) (-0.00829527044507-0.00587368777087j) (-0.00955411599051-0.0102148622926j) (-0.00362889668628-0.00554084301877j)
(0.00358676351596+0.000304056475739j) (0.00981304668736-0.00698075370078j) (0.0119987619483-0.00666247053281j) (0.0131512839859-5.23877536806e-05j) (0.0199581949664+0.000479260585086j) (0.0185118462225-0.000606429793415j) (0.0131083770211+0.00475421707145j) (0.0166163746762+0.00214569010157j) (0.0102783183468+0.00309354272293j) (0.0149404970121+0.00193355758151j) (0.0228839194189+0.000254449783458j) (0.0219569577266+0.000542192853198j) (0.0270151794022+0.00116287495597j) (0.0228056913585+0.00406256539378j) (0.0179015559939-0.00107077000103j) (0.0162798170605-0.00069220375152j) (0.00952892659724-0.000954622160349j) (0.00345718504221-0.00324367286334j) (-0.00182473438354-0.00438253167392j) (-0.00011481155819-0.00324005977754j)
(-0.00149630810691-0.00634139577851j) (0.00108272311811-0.0133403457326j) (-0.000107208570504-0.0132505823999j) (-0.000893072985654-0.0159937635526j) (0.00287090212731-0.0136480555909j) (0.00575925540452-0.0173397508043j) (0.0128472921384-0.0110660188071j) (0.0207361729573-0.00682126217171j) (0.0185742417859+0.00257063349684j) (0.0264228073861-0.00342916674231j) (0.0295971248696-0.00517902989033j) (0.0332697368127-0.00143213031962j) (0.034732980812+0.00826918872344j) (0.0330688660943+0.0153587346257j) (0.0240658981107+0.0154502704625j) (0.0167898323446+0.0138906763305j) (0.0125163946973+0.0182836508499j) (0.00519002797084+0.0134992123691j) (-0.000342563725637+0.00858255344657j) (0.000438246293792+0.00353594057314j)
(-0.00449924368236-0.00832135350486j) (-0.00470606032997-0.0149625194315j) (-0.00938007181233-0.0150415572178j) (-0.00865396982578-0.017459250742j) (-0.00355761440944-0.0167278128826j) (0.00448338422391-0.0168646149432j) (0.0143274815311-0.0126248834749j) (0.0242258094746-0.006732318598j) (0.0280444459169+0.00542932270145j) (0.031843422156-0.00176457656607j) (0.0352439164117+0.00238786242609j) (0.0392641680151+0.00354908126677j) (0.0331315635867+0.00907891433403j) (0.029283447843+0.0184993409656j) (0.0195062499335+0.0131594707677j) (0.0112063642094+0.0166136304947j) (0.00935121230427+0.0135877762679j) (0.00595238887454+0.0107365086529j) (-0.000139680435282+0.00324776638167j) (-0.00372961459832+0.00112266364566j)
(-0.0026381905827-0.00615481687816j) (-0.00685570413774-0.0090635871493j) (-0.012747975455-0.0119872136961j) (-0.00826747843369-0.0133440419111j) (-0.000268221177116-0.0148797523968j) (0.0067103205333-0.013466527315j) (0.0103606735517-0.00813754704149j) (0.0232526601486-0.00174147264985j) (0.0257133466853+0.0042175626789j) (0.0327096476626+0.00650475166646j) (0.0319184254875+0.0159806490904j) (0.0344459829792+0.0172956089408j) (0.0264361200112+0.0141857779112j) (0.0136949930589+0.0147836097701j) (0.00799000240419+0.00455775302978j) (-0.000467365067258+0.00133796987253j) (-0.00658436203343-0.00923032859174j) (-0.00758270506153-0.00828028314709j) (-0.00696716811891-0.00739861708635j) (-0.009486116693-0.00859634961638j)
(-0.012922829672-0.0128279832369j) (-0.0250986163277-0.016547534458j) (-0.0336229737728-0.0211749594789j) (-0.0298494047814-0.0236307407501j) (-0.0173450798327-0.0176781637359j) (-0.00253701209967-0.0127547426228j) (0.0101220036899-0.00325868953135j) (0.0304832892438+0.00684106576145j) (0.0410764223196+0.0104090426367j) (0.0493363880014+0.0176612503255j) (0.0454626705241+0.0160319300108j) (0.0432751115436+0.0153026987559j) (0.0321695555546+0.0138456949723j) (0.00563470489945+0.009293138769j) (-0.0032319823856-0.00085020281744j) (-0.0163531930428-0.0107680853581j) (-0.0229733397715-0.013880912423j) (-0.0220799338064-0.00811464592582j) (-0.0228135921871-0.00741572231623j) (-0.00931621355069-0.0082992767576j)
(-0.00968609749615-0.014684017265j) (-0.0212765768589-0.0172937862722j) (-0.0204569479294-0.0198973589136j) (-0.0192877461754-0.0210316921684j) (-0.00498836417481-0.0140218071618j) (0.00692459949858-0.00519836776274j) (0.0204174700431+0.00123506683479j) (0.0315503418485+0.0114979453183j) (0.0447239941658+0.0154383122254j) (0.0487860764618+0.0211215996906j) (0.0468354199644+0.015482542519j) (0.0437444868151+0.0108881493958j) (0.0319007293568+0.00668944075126j) (0.00283360914709-0.00161153550305j) (-0.00891980618494-0.011596724668j) (-0.0199805071091-0.015983767628j) (-0.0254805993544-0.0219659296327j) (-0.0250588972811-0.0164001348799j) (-0.023842387403-0.00943057273324j) (-0.00815879807307-0.008351122291j)
(-0.0125110876834-0.00658020029936j) (-0.0229587883897-0.000776402706116j) (-0.0219497846202-0.000884227906463j) (-0.0260412984681-0.0022382068407j) (-0.0126164259397-0.00332924704731j) (-0.00248791522882-0.00112423389191j) (0.0126276932688+0.000145945813622j) (0.0246864088257+0.003389839619j) (0.039686036968+0.0088947762228j) (0.0484104588761+0.00750731431904j) (0.0461809767689+0.00393256572576j) (0.0413130629417+0.00234412639301j) (0.0300960674883-0.00335174387887j) (0.0050531251925-0.00578541409453j) (-0.0107338254222-0.00767456621781j) (-0.0194026204942-0.00569559702161j) (-0.0296689536638-0.0101410530275j) (-0.0268153397261-0.00822516537816j) (-0.0207935065203-0.00352337565358j) (-0.00868322359054-0.00303459109273j)
(-0.0034938595049+0.0014865584667j) (-0.0139945342429+0.00706492919225j) (-0.013301572087+0.00906439319694j) (-0.0191983398371+0.0112630570941j) (-0.0101954702843+0.0136693621675j) (0.000155008893767+0.00505261629806j) (0.0152944014593+0.00540501809008j) (0.0251260760107-0.00211137274875j) (0.0347088193848-0.00136547455017j) (0.0389665616221-0.00202365221242j) (0.0386701573893-0.00533261424122j) (0.0341769067524-0.00689194616813j) (0.0286565479017-0.00728748627116j) (0.011927337773-0.00613832259316j) (0.00133905573147-0.00222285425668j) (-0.00728198556271-0.00190181185626j) (-0.0164118983868+0.000530525939156j) (-0.0159726480492+0.00283362756516j) (-0.0111449973352+0.00396427756342j) (-0.00657694689719-0.00251654217836j)
(0.000305642089155+0.00861657653033j) (-0.0155732674228+0.0168073371696j) (-0.013415216811+0.0253785390508j) (-0.0181213381498+0.023696474294j) (-0.0114081674928+0.0235509005251j) (-0.000719941946541+0.0129876478796j) (0.0140439605644+0.00227690214926j) (0.0265185313071-0.0109886421564j) (0.0353052225996-0.0186038055973j) (0.0426311244823-0.0185709097059j) (0.043309675726-0.0172073340032j) (0.0434233551087-0.0141235928651j) (0.0341280089142-0.00955534359808j) (0.0148497878875+0.0055913138534j) (0.00405122774349+0.00940667049185j) (-0.012060360271+0.0153589918936j) (-0.0177624400489+0.015436041905j) (-0.0194680600357+0.0147496239923j) (-0.0220909193605+0.0152293398434j) (-0.0113249316241+0.00567519400412j)
(0.00256848101765-0.0341579909887j) (0.00343454780885-0.0558858829105j) (0.0127683165525-0.0683893620903j) (0.013256111966-0.0652596909244j) (0.0190496148129-0.0530671919912j) (0.0226148153637-0.0312909060935j) (0.0261607827432+0.00515755877368j) (0.0269303802885+0.0285091497799j) (0.0216444500522+0.0550270569084j) (0.0213757776644+0.0643820041267j) (0.0163877094085+0.0657320744585j) (0.0191569722598+0.0492244724813j) (0.0177292075633+0.0277276698978j) (0.0129258600288-0.0148928860991j) (0.00699577876877-0.0285621356588j) (0.00603762157833-0.0526187616854j) (0.00523386397662-0.0598883193351j) (0.0014076731595-0.0603454138118j) (-0.00591999671555-0.0534305611323j) (-0.00486975944553-0.0256282520925j)
(-0.00435607038882-0.0204212113583j) (-0.00328393306421-0.0314239413148j) (-0.00182196062288-0.0399715150711j) (0.00115428186599-0.042847234865j) (0.00606240044214-0.0350179397067j) (0.012288039034-0.0248997491819j) (0.0209000072613+0.00602142507462j) (0.02295339128+0.0181508979589j) (0.0203146200264+0.0376847546399j) (0.021436729605+0.0432956887554j) (0.0218823497663+0.0435384331676j) (0.019046860635+0.0352611023536j) (0.0232021870672+0.0228830116685j) (0.0140694539618-0.00884006046345j) (0.00647922180197-0.0163461433061j) (0.00942869488329-0.0284680972327j) (0.00350191616447-0.0376206117873j) (0.00283288047731-0.0380259394177j) (-0.00172011682779-0.0297317140259j) (-0.00182590929031-0.016227860313j)
(-0.0690761859395-0.0311214369217j) (-0.125757378396-0.0602668737022j) (-0.15807880384-0.0710361519553j) (-0.156726144687-0.0740422273849j) (-0.121376004837-0.0585217764251j) (-0.0567370138984-0.0341949837879j) (0.0185329400194+0.00338984377818j) (0.0835830991598+0.0324751453703j) (0.136450168034+0.0628178049656j) (0.17206301994+0.072945184846j) (0.17496199126+0.073461081297j) (0.145361431887+0.0548257980177j) (0.106263444197+0.0411124773467j) (-0.00659873395963-0.00631011309599j) (-0.0558919284707-0.0309761731634j) (-0.116580298017-0.0567924649124j) (-0.15411499483-0.0720503906391j) (-0.153459783555-0.0764703781698j) (-0.129928367283-0.058158610321j) (-0.0719875119473-0.0336523065782j)
(-0.00314900227788-0.137989234977j) (-0.00765756322703-0.253655266698j) (-0.00630621159787-0.313069498214j) (0.00162931627375-0.315209920762j) (0.00637135951816-0.251032144813j) (0.0124720492044-0.142112066417j) (0.0159056137539-0.00379775374931j) (0.0122665764366+0.134350228515j) (0.0136285714122+0.246939903732j) (0.0107615875758+0.31116274179j) (0.0136660439165+0.314707517725j) (0.0107278027033+0.251381060621j) (0.011209233631+0.180900451013j) (0.0118866718045-0.036426573775j) (0.0127291894708-0.133225328482j) (0.00537110204102-0.244623641825j) (0.00224309359532-0.306896930114j) (-5.58906545414e-05-0.306649167443j) (-2.29481285098e-05-0.248605379505j) (-0.00140441447605-0.136126783191j)
(0.0688724547857-0.170712317124j) (0.120585550683-0.301562886674j) (0.147591967603-0.372691292207j) (0.152072909603-0.374717749841j) (0.128970016822-0.30527010948j) (0.0837593311308-0.174736498288j) (0.0176858402648-0.00723523286981j) (-0.0445123675392+0.157636116395j) (-0.0962346893423+0.290904028578j) (-0.135968270468+0.370521036633j) (-0.129954695374+0.375583093327j) (-0.103114290109+0.305126632815j) (-0.0774956482154+0.220859636489j) (0.030559162216-0.0404901362649j) (0.0782169166223-0.15826889244j) (0.123791941444-0.292843887788j) (0.15247931706-0.371199591372j) (0.149471414842-0.368716711156j) (0.119156820603-0.301225714712j) (0.0672389629601-0.16572677504j)
(0.0684128507833-0.0334925170154j) (0.119587482111-0.051638879415j) (0.146483223516-0.0614430206413j) (0.149077173071-0.0661200718781j) (0.12833324639-0.0534898092353j) (0.085805266916-0.0234687720687j) (0.0278543757245+0.00686671234618j) (-0.0309950779112+0.031172066592j) (-0.0808241793797+0.0506298421377j) (-0.116506568037+0.0590125748364j) (-0.119983067635+0.0621860639266j) (-0.0952989900791+0.0518018108099j) (-0.0731929662493+0.0372462856993j) (0.0335710939882-0.0114623152315j) (0.0823978653407-0.032730322287j) (0.126309337217-0.0577318532973j) (0.150263035478-0.0691738840648j) (0.151540286843-0.0700339458272j) (0.117680080121-0.061936020758j) (0.0688524624254-0.0381987054817j)
(0.0377457979111-0.0124320373668j) (0.0683111408293-0.0178056550674j) (0.0913430413535-0.0213490726757j) (0.0919846552021-0.0235360806209j) (0.083592224527-0.0124473536412j) (0.0516182203315-0.00357346922798j) (0.023268817267+0.0108914558911j) (-0.0171650317068+0.0189177652309j) (-0.0471172944535+0.0199623905301j) (-0.0662980226276+0.0219033750952j) (-0.0687555759407+0.0229463806595j) (-0.0587488391935+0.0180316209917j) (-0.0428464280424+0.0123549423035j) (0.0202061298842-0.00876047784823j) (0.0457356256418-0.0183926203895j) (0.0727521795827-0.0243456799244j) (0.082957280602-0.0245594431498j) (0.0879414940592-0.0258955268291j) (0.0677945005847-0.0238240372193j) (0.0397627884594-0.0129516302361j)
(0.0181657749532-0.00585789993497j) (0.0311144544396-0.0131043715109j) (0.0406938111734-0.0141951413574j) (0.0425470872485-0.0168000122893j) (0.0443425616207-0.0133252609306j) (0.0327423178038-0.0103173097705j) (0.0226325341904-0.00174132800798j) (-0.00231329395562+0.00749358876014j) (-0.0150718790132+0.0053682689319j) (-0.0241683831574+0.0128111643083j) (-0.0282647267817+0.0150673238625j) (-0.026359040388+0.0137576430615j) (-0.0177956455357+0.0069814597923j) (0.0124123223196-0.00187893076573j) (0.0246605299018-0.00452579447279j) (0.0290026833815-0.00343790262026j) (0.0449735099033-0.005100815257j) (0.0414628156426-0.00933543992989j) (0.0280754231273-0.00723309915147j) (0.0127419113095-0.0084385294792j)
(0.0153431447364-0.0115480786886j) (0.0173499311782-0.0288050243439j) (0.0201259790146-0.0316892337044j) (0.0199031270428-0.0282546975285j) (0.0250299759516-0.0211573253939j) (0.0221364657464-0.011207446805j) (0.0189903992663+0.00121169244367j) (0.0100624408122+0.0181688237278j) (0.00474315505026+0.0197278282288j) (-0.00357033345146+0.022770032695j) (-0.00401596305589+0.0204481033032j) (-0.00686450360136+0.0101654976074j) (0.000743912385118+0.00231506107718j) (0.0197506063298-0.00835991836061j) (0.030514560435-0.00594058059203j) (0.0231641392637-0.0114125106554j) (0.0304232703896-0.00479400466972j) (0.0204670324258-0.00216130048338j) (0.0133981074518-0.00670135617382j) (0.0014126520845-0.00905581259764j)
(0.0273840686242-0.00245474468964j) (0.0472384604167-0.00786501819081j) (0.0556445556616-0.00393253975631j) (0.0604794263653-0.0044765915611j) (0.0490562231348+0.000438753199251j) (0.0318559469436+0.00236759384143j) (0.0148824612862+0.00230436084179j) (-0.00664436167783+0.00780905819579j) (-0.0242539031192+0.00518618924413j) (-0.0400075068643+0.00324540914962j) (-0.0438491101122+0.00150496310536j) (-0.0334425356141+0.000271538603669j) (-0.0167448824065+0.0005047420081j) (0.0139217344471-0.0047477672883j) (0.0364288646508-0.00419860841627j) (0.0510315969349-0.00590201023356j) (0.0598684051584+0.00136740817862j) (0.0571859309696-0.00299058729657j) (0.0468448501594-0.0038142921212j) (0.0216205122337-0.00356291645057j)
(0.0358188970385+0.00441041438675j) (0.0637834933763+0.00641799737696j) (0.0834036138809+0.0149098785541j) (0.0819687611115+0.00682510039283j) (0.0689850726889+0.00349821546527j) (0.0407628704607+0.000763287002791j) (0.0122151001053-0.0035156361354j) (-0.0201387766829-0.000580593044407j) (-0.0444850812204+0.00219986530193j) (-0.0616564937123-0.00328081828957j) (-0.0613272254777-0.00503728585687j) (-0.0485970766671+0.00104689108987j) (-0.0179076156399+0.00790961793432j) (0.0259791189661+0.000506285470618j) (0.0526890805517+0.00175851682697j) (0.07460150686-0.00134697618191j) (0.0834912272574+0.00333748722746j) (0.0814520327299-0.00387081080267j) (0.0659843150225+0.00049034981408j) (0.0318481274793+0.00334720800415j)
(0.0124280390735-0.00206718216051j) (0.0227694396021-0.00901049223297j) (0.0324411395889-0.00263448282912j) (0.0281227620627-0.00787689378484j) (0.025202177946-0.00592334925266j) (0.0167300022539-0.00281620190518j) (0.0108426495753+0.00244648668622j) (0.00405191577216+0.00528109188393j) (-0.00339209821988+0.00857714992046j) (-0.00564604755038+0.00432069002362j) (-0.00619898280673-0.000200941561267j) (-0.00199882196558+0.000260746837548j) (0.00697829646525+0.00234364926777j) (0.0134493096744+0.001156204751j) (0.0143667990918-0.00241199233678j) (0.0123836822343-0.000703615131243j) (0.0117917502027+0.00527831211847j) (0.0129088649161+0.00146800383188j) (0.0109686544824+0.00382055186214j) (0.00449614987889+0.00124899731494j)
(0.0126985353015+0.00503880422589j) (0.0146639227773+0.00659821473189j) (0.0232483985044+0.00990887775745j) (0.0250925517251+0.00779844449914j) (0.0278533554518+0.0092895868848j) (0.0186417783353+0.00789367151213j) (0.0107268185133+0.0096770287413j) (0.00661175807167+0.0020900961046j) (-0.003886757112+0.000978827223915j) (-0.0108139637932-0.00620341333877j) (-0.00921986861245-0.010980865409j) (-0.00425859799074-0.00944488841802j) (0.000639805298011-0.00812729794932j) (0.00512141186627-0.00200313749069j) (0.00877396129581-0.00339002151531j) (0.00921355481471+0.00401998432768j) (0.0162820069407+0.0101685626237j) (0.0181062860238+0.00463740129703j) (0.0132283350265+0.00906153551191j) (0.00907644435287+0.00318604113697j)
(0.0160128588659+0.00419841284246j) (0.0306556800313+0.00163352573604j) (0.0382866941192+0.00522875916291j) (0.0477416387762+0.00586533172027j) (0.0471816911203+0.00489232238043j) (0.0343454092297+0.00373721466775j) (0.0253581764964+0.00746689756394j) (0.0045321693311-9.59855147117e-05j) (-0.0178110959753-0.000281711504571j) (-0.028297193484-0.000379110835516j) (-0.0357064035643-0.00162235989056j) (-0.0343412558585-0.0021728882152j) (-0.0251221456363-0.0023772936223j) (-3.888459629e-05+0.00258671298367j) (0.0212637038454-0.00523726117291j) (0.039020961548+0.000316254143802j) (0.0525675564278-0.00498827236958j) (0.0537528276328-0.00349070799614j) (0.0395842801406-0.000301689328427j) (0.0240719680936+0.00102413921105j)
(0.018459168609-0.00424663387443j) (0.0356783450015-0.0130714014039j) (0.0381545172088-0.0144676251865j) (0.0483377618994-0.0149015655082j) (0.0488334721985-0.00919454120095j) (0.0400510189093-0.00155073371357j) (0.0318143447684+0.00616658735101j) (0.0146158609453+0.014999038177j) (-0.00952340060125+0.0199251670176j) (-0.0191603733631+0.0174386262637j) (-0.0290129771822+0.0145630317806j) (-0.0274783701691+0.00873588854842j) (-0.0233290234998+0.00417966521538j) (-0.000462248164163+0.000436774499203j) (0.021008291062-0.0116248373162j) (0.043388946315-0.0140997493712j) (0.0565939181187-0.0246571730899j) (0.055557773733-0.0264646324328j) (0.0450890137499-0.0227112542799j) (0.0253824056936-0.00993199296199j)
