(-0.00233758713911+0j) (-0.00372276661379+0j) (-0.000279788345642+0j) (0.00493313191902+0j) (-0.00268041442962+0j) (-0.00266043948858+0j) (-0.00189147702748+0j) (-0.00363783161038+0j) (-0.00377731027188+0j) (0.00332512518519+0j) (0.00504445330641+0j) (0.00507914027738+0j) (-0.00350787066682+0j) (-4.26152142232e-05+0j) (0.00160511649392+0j) (-0.00679344531575+0j) (-0.00719808487728+0j) (0.0033178936095+0j) (-0.00471480397703+0j) (-0.00359567604014+0j)
(-0.000591446835248-0.00035557626234j) (-0.000539531219845+2.58869144265e-05j) (-0.000849556100855-0.000213838850443j) (-0.000859170199319-0.000235602992267j) (-0.00157602916222-0.00034638246502j) (-0.00153256185898-0.00013604391015j) (-0.00167020755194-0.000203758493993j) (-0.00160527537854-0.000412851334707j) (-0.00169965494546-0.000297707346535j) (-0.00131881197016-0.000560176395134j) (-0.00123057591006-0.000533503336708j) (-0.00140596202728-0.000151206451734j) (-0.00287601620804-0.000818886688657j) (0.000136925305088-0.000404147765595j) (-0.000908204605541-0.000486102048625j) (-0.00115612540003-0.000245715347392j) (-0.00106728471015-0.000618149753872j) (-0.0012085598197-0.000641083523745j) (-9.1777361336e-05+5.7143718323e-05j) (2.94107697696e-05-0.000143230750187j)
(-0.000538223721492-0.000317645119551j) (-0.000613342412996+0.000147317221419j) (-0.00136907238901-0.000295142429074j) (-0.0018131298403-0.000382143640921j) (-0.00174937537662-0.000663146668616j) (-0.0024974150478-0.000494504427691j) (-0.0022131482284-0.000354568781235j) (-0.00209890776194-0.000512205477425j) (-0.00259338578254+6.06636183777e-05j) (-0.00180335973931-0.000790504445622j) (-0.00193608972574-0.000473372491284j) (-0.00210519267081-0.000653533662821j) (-0.00382630379687-0.00114327984822j) (-2.02778219474e-05-0.000786509833841j) (-0.00182795224133-0.000786211206652j) (-0.00161984014078-0.00039558016972j) (-0.00133017702319-0.0010812686187j) (-0.00131778832212-0.000574158742264j) (-0.000358747108204-0.000639468811131j) (-0.000482708555705-0.000318197947025j)
(-9.71218018878e-05-0.000820700847972j) (-0.00110481717243+3.47106455153e-05j) (-0.00190842183075-0.000700191415444j) (-0.00177813287546-0.000687785854475j) (-0.0015057278346-0.000540332986149j) (-0.00241190513256-0.000641783946271j) (-0.00188829935285-0.000202199155246j) (-0.00209990659076+1.4542694079e-05j) (-0.00278020542482-0.000841163991974j) (-0.00245062397359-0.00067343688752j) (-0.0026570296094-0.000705515994927j) (-0.00233322074643-0.000973630328795j) (-0.00499173127801-0.00143442557206j) (-0.000800638997972-0.000828272388355j) (-0.00246754362685-0.00141413823425j) (-0.00174851771385-0.000391715274949j) (-0.00160986295118-0.000724161311586j) (-0.00156585667078-0.00041034204363j) (-0.000710632537805-0.000991175749339j) (-0.000422596192389-0.000812694198973j)
(7.35587586522e-05-0.00078714755491j) (-0.00126381958702-0.000123559972171j) (-0.00200000436166-0.000653098065266j) (-0.00209369806556-0.000762692147896j) (-0.00241930332046-0.000443869786937j) (-0.00232837369-0.000597154062209j) (-0.00254266439207-0.000333487414615j) (-0.00325429306633-0.000149807970305j) (-0.00369970568863-0.000661222935066j) (-0.00304820351269-0.000418119104655j) (-0.00399112417581-5.83738369389e-05j) (-0.00317923936775-0.000408399530187j) (-0.00588500109664-0.00086176867849j) (-0.00121586473371-0.00080589675231j) (-0.00327897062339-0.000763982567355j) (-0.00238077181853-0.000329012116151j) (-0.00174660770837-0.000118679734625j) (-0.00230588447811-8.51853975627e-05j) (-0.00126862824683-0.000247940194192j) (-0.000571235708463-0.000497743618491j)
(-0.000601186649452-0.000287115405594j) (-0.00127576999159-0.000687000333146j) (-0.00181297413147-0.00106222870195j) (-0.00236887580271-0.000917769182686j) (-0.00258623465474-0.0014652871023j) (-0.00257201906434-0.00150532389938j) (-0.00232320917943-0.00134624830335j) (-0.0039237186931-0.00131149548965j) (-0.00390423956555-0.000916161449675j) (-0.00262522393563-0.00109713975874j) (-0.00350217797294-0.00073851744208j) (-0.00352784272612-0.00116992216165j) (-0.00539911888251-0.00262189170565j) (-0.00181755844216+0.000253576062498j) (-0.00358997398559-0.000991872400058j) (-0.00286523098574-0.000173422230915j) (-0.00219727008307+0.000262056313309j) (-0.00216812014698-0.000285467352017j) (-0.000916857074499-0.000582856397453j) (-0.000815476448496-0.000418598553401j)
(-0.000848278287941-0.000313518333472j) (-0.00123374392441-0.00066217998233j) (-0.00150153983201-0.000794220765522j) (-0.00229064238748-0.000701853514593j) (-0.00318828539548-0.00162909592399j) (-0.00301684894738-0.0010040599468j) (-0.00301188157426-0.00118571024302j) (-0.0029927595673-0.0010855078129j) (-0.00363207995059-0.00117650077782j) (-0.00298317893788-0.00071014706382j) (-0.00343578998605-0.000790304574182j) (-0.00370639059528-0.00107662785575j) (-0.00499915612454-0.00251710298307j) (-0.00133623266674+0.000882047283634j) (-0.00315947161903-0.000725652917426j) (-0.00264811421916-0.000940607201667j) (-0.00264703230748+0.000189958358083j) (-0.0018411322885-0.000166891601488j) (-0.000921717589438+0.000512741088419j) (-0.00102840362284-0.000817221998852j)
(-0.00068102254113-0.000465351909218j) (-0.0019416906797-0.000849254929365j) (-0.0021470520243-0.0010832626476j) (-0.00350581933396-0.000873778018865j) (-0.00504493864988-0.00185187570932j) (-0.00524463737133-0.0012733737577j) (-0.00579302509107-0.000968975720648j) (-0.00564650805454-0.00119097860053j) (-0.00660448749481-0.00106553712777j) (-0.00653611219838-0.000719338819529j) (-0.00595373164988-0.000676277864212j) (-0.00627038016562-0.000702544398156j) (-0.0086594652267-0.00193288874792j) (-0.00193907383788+0.000599228578021j) (-0.00459733801929-0.000139545244597j) (-0.00429350006078-0.00101921127453j) (-0.00427432063593-0.000240248375206j) (-0.0027609799341+0.00025504999181j) (-0.00189910456756+9.2663439243e-05j) (-0.0014335150669-0.000999834171259j)
(-0.000925766808887-0.000275532312406j) (-0.00284397892505-0.000337644395728j) (-0.00328992793518-0.000625618746678j) (-0.00514073717544-0.00179258164057j) (-0.00754729887345-0.000893592848235j) (-0.00780771567232-0.000748258905867j) (-0.00912405420189-0.00115217722163j) (-0.00888032796164-0.00132153238712j) (-0.00835684222263-0.000511303778535j) (-0.0102654772447-0.000617077846272j) (-0.00904672321083-0.000475334062825j) (-0.00997950269315-0.000183561212219j) (-0.0126969304227-0.000783552059724j) (-0.00364818049625-0.000691099795128j) (-0.00674090868055-0.000641574991209j) (-0.00607714827431-0.000639085341443j) (-0.00560939078387+1.85663668019e-05j) (-0.00379680867605-0.00058772444708j) (-0.0027369613768-0.000734833156779j) (-0.00194841593288-0.00174709744583j)
(-0.0018574130319-0.000349937093105j) (-0.00285677274967-0.000165223921068j) (-0.00414044716928-0.000454339827581j) (-0.00645001419434-0.00103998164378j) (-0.00879339591498-0.000888692540004j) (-0.00882050554629-0.000195570141211j) (-0.0102520154673+0.00075124362938j) (-0.0102839764139-0.000887142486102j) (-0.00965061722845-0.000364444599383j) (-0.0109901322067-0.000584044277772j) (-0.00998414070972-0.000992298129121j) (-0.0106835081003-0.00104924648844j) (-0.0138602540527-0.000373676707895j) (-0.00412477911092-0.00217899320509j) (-0.00799002979901-0.00197125957919j) (-0.00662347954201-0.000929894258688j) (-0.00545806954672-0.000651616449239j) (-0.00528664122888-0.000849021811152j) (-0.00254279550751-0.00159141399839j) (-0.00209148487324-0.00171573311213j)
(-0.00176687537965-0.00202057508428j) (-0.00326710427551-0.000697706478809j) (-0.00398140444714-0.00111168196265j) (-0.0065573053584-0.00125334936901j) (-0.00762016352344-0.00109372537876j) (-0.00835864553551-0.00119611884704j) (-0.00908588327982+0.000112894727759j) (-0.00997198160473-0.00131714978146j) (-0.010788677616-0.000401565735716j) (-0.010737897155-0.000144818413872j) (-0.0102167666069-0.00105188334126j) (-0.0101806749151-0.000712949180099j) (-0.0138117507834-0.000786556245041j) (-0.00615459141923-0.0017438944953j) (-0.00908910923668-0.000534294393926j) (-0.00694215358756+0.000131998982485j) (-0.00631991932852-0.00091145248275j) (-0.00586361125911-0.000836313054717j) (-0.0027061610787-0.00183085709549j) (-0.0023868956294-0.000763848410345j)
